,activity,before_break,date,event,h1,h2,h3,h4,h5,player,type
4184,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.005,0.0,0.0,0.0,0.0,off guard,camp
4185,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.015,0.0,0.0,0.0,0.0,off guard,camp
4183,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.01,0.005,0.0,0.0,linebacker,camp
4171,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.005,0.0,0.0,0.0,0.0,off guard,camp
4172,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.005,0.0,0.0,running back,camp
4174,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.005,0.005,0.0,0.0,linebacker,camp
4173,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.005,0.005,0.0,0.0,0.0,safety,camp
4176,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.005,0.0,0.0,0.0,def tackle,camp
4175,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.005,0.0,0.0,0.0,0.0,off guard,camp
4177,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.005,0.0,0.01,0.005,0.0,tight end,camp
4178,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.005,0.005,0.0,0.0,0.0,linebacker,camp
4179,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.0,0.005,0.0,def end,camp
4166,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.005,0.0,0.0,0.0,running back,camp
4167,team vs. offense,False,2017-08-03 11:20:00,fall camp practice #4,0.005,0.0,0.0,0.0,0.0,def end,camp
4165,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.01,0.0,0.005,0.005,0.0,running back,camp
4170,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.01,0.005,0.0,0.0,tight end,camp
4168,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.005,0.0,0.0,0.0,0.0,off tackle,camp
4169,team vs. offense,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,safety,camp
4164,team vs. def,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.005,0.005,0.0,0.0,off guard,camp
4163,team vs. offense,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.0,0.005,0.0,0.0,linebacker,camp
4162,team vs. def,False,2017-08-03 11:25:00,fall camp practice #4,0.005,0.0,0.0,0.0,0.0,tight end,camp
4161,team vs. offense,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.0,0.0,0.005,0.0,safety,camp
4160,post-practice/turn over,False,2017-08-03 11:35:00,fall camp practice #4,0.0,0.01,0.01,0.0,0.0,linebacker,camp
