,event,before_break,day,event_type,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
9,Houston #1,pre,2017-10-10,tues,9.0,2.0,0.0,0.0,16,7,9,70.0,60.0,1030.0,11.0,2.0,0.008737864077669903,0.001941747572815534,0.0,0.0,0.010679611650485437,0.001941747572815534
10,Houston #2,post,2017-10-11,wed,13.0,4.0,4.0,0.0,16,7,9,49.0,57.0,856.0,21.0,8.0,0.015186915887850467,0.004672897196261682,0.004672897196261682,0.0,0.02453271028037383,0.009345794392523364
11,Houston #2,pre,2017-10-11,wed,9.0,5.0,0.0,0.0,16,7,9,78.0,68.0,1158.0,14.0,5.0,0.007772020725388601,0.004317789291882556,0.0,0.0,0.012089810017271158,0.004317789291882556
12,Houston #3,pre,2017-10-12,thurs,5.0,0.0,0.0,0.0,16,8,8,122.0,112.0,1872.0,5.0,0.0,0.002670940170940171,0.0,0.0,0.0,0.002670940170940171,0.0
13,Houston Game,post,2017-10-14,game,34.0,43.0,6.0,4.0,17,8,9,12.63,17.37,257.37,83.0,49.0,0.13210552900493452,0.16707463962388777,0.023312740412635504,0.015541826941757004,0.32249290904145783,0.19038738003652328
14,Houston Game,pre,2017-10-14,game,48.0,26.0,9.0,3.0,17,8,9,19.38,10.62,250.62,83.0,35.0,0.19152501795547042,0.10374271805921315,0.035910940866650705,0.011970313622216901,0.3311786768813343,0.13965365892586384
1,Conneticut #1,post,2017-10-17,tues,11.0,6.0,1.0,0.0,14,6,8,57.0,57.0,798.0,18.0,7.0,0.013784461152882205,0.007518796992481203,0.0012531328320802004,0.0,0.022556390977443608,0.008771929824561403
2,Conneticut #1,pre,2017-10-17,tues,9.0,5.0,1.0,0.0,14,6,8,70.0,60.0,900.0,15.0,6.0,0.01,0.005555555555555556,0.0011111111111111111,0.0,0.016666666666666666,0.006666666666666667
3,Conneticut #2,post,2017-10-18,wed,6.0,0.0,0.0,3.0,14,6,8,49.0,57.0,750.0,6.0,0.0,0.008,0.0,0.0,0.004,0.008,0.0
4,Conneticut #2,pre,2017-10-18,wed,8.0,3.0,0.0,0.0,14,6,8,78.0,68.0,1012.0,11.0,3.0,0.007905138339920948,0.0029644268774703555,0.0,0.0,0.010869565217391304,0.0029644268774703555
5,Conneticut #3,pre,2017-10-19,thurs,7.0,0.0,0.0,0.0,16,8,8,122.0,112.0,1872.0,7.0,0.0,0.0037393162393162395,0.0,0.0,0.0,0.0037393162393162395,0.0
6,Conneticut Game,post,2017-10-21,game,31.0,27.0,9.0,9.0,16,8,8,17.72,12.28,240.0,67.0,36.0,0.12916666666666668,0.1125,0.0375,0.0375,0.2791666666666667,0.15
7,Conneticut Game,pre,2017-10-21,game,31.0,26.0,14.0,4.0,16,8,8,16.02,13.98,240.0,71.0,40.0,0.12916666666666668,0.10833333333333334,0.058333333333333334,0.016666666666666666,0.29583333333333334,0.16666666666666666
65,S Methodist #1,post,2017-10-24,tues,21.0,12.0,4.0,4.0,15,7,8,55.0,55.0,825.0,37.0,16.0,0.025454545454545455,0.014545454545454545,0.0048484848484848485,0.0048484848484848485,0.044848484848484846,0.019393939393939394
66,S Methodist #1,pre,2017-10-24,tues,9.0,3.0,3.0,2.0,15,7,8,76.0,66.0,1060.0,15.0,6.0,0.008490566037735849,0.002830188679245283,0.002830188679245283,0.0018867924528301887,0.014150943396226415,0.005660377358490566
67,S Methodist #2,pre,2017-10-25,wed/thurs,27.0,6.0,6.0,2.0,15,7,8,102.0,102.0,1530.0,39.0,12.0,0.01764705882352941,0.00392156862745098,0.00392156862745098,0.00130718954248366,0.025490196078431372,0.00784313725490196
68,S Methodist Game,post,2017-10-27,game,20.0,14.0,3.0,0.0,15,7,8,15.43,14.57,224.57,37.0,17.0,0.08905909070668389,0.06234136349467872,0.013358863606002584,0.0,0.1647593178073652,0.0757002271006813
69,S Methodist Game,pre,2017-10-27,game,35.0,27.0,14.0,3.0,15,7,8,10.13,19.87,229.87,76.0,41.0,0.15225997302823335,0.11745769347892286,0.060903989211293336,0.013050854830991429,0.33062165571844954,0.1783616826902162
22,Memphis #1,post,2017-10-31,tues,15.0,8.0,1.0,3.0,15,7,8,55.0,55.0,825.0,24.0,9.0,0.01818181818181818,0.009696969696969697,0.0012121212121212121,0.0036363636363636364,0.02909090909090909,0.01090909090909091
23,Memphis #1,pre,2017-10-31,tues,7.0,4.0,1.0,0.0,15,7,8,66.0,66.0,990.0,12.0,5.0,0.007070707070707071,0.00404040404040404,0.00101010101010101,0.0,0.012121212121212121,0.005050505050505051
24,Memphis #2,pre,2017-11-01,wed/thurs,18.0,13.0,4.0,1.0,15,7,8,110.0,102.0,1586.0,35.0,17.0,0.011349306431273645,0.00819672131147541,0.0025220680958385876,0.0006305170239596469,0.022068095838587643,0.010718789407313998
25,Memphis Game,post,2017-11-03,game,31.0,23.0,15.0,8.0,15,7,8,21.6,8.4,218.40000000000003,69.0,38.0,0.1419413919413919,0.1053113553113553,0.06868131868131867,0.036630036630036625,0.31593406593406587,0.17399267399267396
26,Memphis Game,pre,2017-11-03,game,39.0,29.0,12.0,5.0,15,7,8,12.52,17.48,227.48000000000002,80.0,41.0,0.1714436433972217,0.12748373483383155,0.05275189027606822,0.021979954281695094,0.3516792685071215,0.18023562510989977
0,Bye #1,pre,2017-11-07,wed/thurs,12.0,9.0,3.0,1.0,14,6,8,77.0,77.0,1078.0,24.0,12.0,0.011131725417439703,0.008348794063079777,0.0027829313543599257,0.0009276437847866419,0.022263450834879406,0.011131725417439703
57,S Florida #1,post,2017-11-08,tues,11.0,8.0,5.0,1.0,14,6,8,49.0,57.0,750.0,24.0,13.0,0.014666666666666666,0.010666666666666666,0.006666666666666667,0.0013333333333333333,0.032,0.017333333333333333
58,S Florida #1,pre,2017-11-08,tues,8.0,0.0,1.0,0.0,14,6,8,60.0,60.0,840.0,9.0,1.0,0.009523809523809525,0.0,0.0011904761904761906,0.0,0.010714285714285714,0.0011904761904761906
59,S Florida #2,post,2017-11-09,tues,6.0,10.0,5.0,1.0,13,6,7,49.0,49.0,637.0,21.0,15.0,0.009419152276295133,0.015698587127158554,0.007849293563579277,0.0015698587127158557,0.03296703296703297,0.023547880690737835
60,S Florida #2,pre,2017-11-09,tues,5.0,2.0,0.0,0.0,13,6,7,52.0,52.0,676.0,7.0,2.0,0.0073964497041420114,0.0029585798816568047,0.0,0.0,0.010355029585798817,0.0029585798816568047
61,S Florida #3,pre,2017-11-12,thurs,9.0,5.0,4.0,1.0,15,7,8,112.0,92.0,1520.0,18.0,9.0,0.0059210526315789476,0.003289473684210526,0.002631578947368421,0.0006578947368421052,0.011842105263157895,0.0059210526315789476
62,S Florida #4,pre,2017-11-14,thurs,1.0,1.0,0.0,0.0,15,7,8,112.0,112.0,1680.0,2.0,1.0,0.0005952380952380953,0.0005952380952380953,0.0,0.0,0.0011904761904761906,0.0005952380952380953
63,S Florida Game,post,2017-11-16,game,20.0,18.0,7.0,3.0,16,7,9,12.4,17.6,245.2,45.0,25.0,0.08156606851549755,0.0734094616639478,0.028548123980424146,0.012234910277324634,0.18352365415986951,0.10195758564437195
64,S Florida Game,pre,2017-11-16,game,41.0,42.0,12.0,2.0,16,7,9,14.35,15.65,241.3,95.0,54.0,0.16991297140489017,0.17405719021964358,0.04973062577704102,0.008288437629506838,0.39370078740157477,0.22378781599668462
70,Temple #1,post,2017-11-21,tues,10.0,15.0,3.0,1.0,16,7,9,57.0,57.0,912.0,28.0,18.0,0.010964912280701754,0.01644736842105263,0.003289473684210526,0.0010964912280701754,0.03070175438596491,0.019736842105263157
71,Temple #1,pre,2017-11-21,tues,13.0,4.0,1.0,0.0,16,7,9,70.0,60.0,1030.0,18.0,5.0,0.01262135922330097,0.003883495145631068,0.000970873786407767,0.0,0.017475728155339806,0.0048543689320388345
72,Temple #2,post,2017-11-22,wed,16.0,7.0,2.0,2.0,16,7,9,49.0,57.0,856.0,25.0,9.0,0.018691588785046728,0.008177570093457943,0.002336448598130841,0.002336448598130841,0.029205607476635514,0.010514018691588784
73,Temple #2,pre,2017-11-22,wed,13.0,6.0,0.0,0.0,16,7,9,78.0,68.0,1158.0,19.0,6.0,0.011226252158894647,0.0051813471502590676,0.0,0.0,0.016407599309153715,0.0051813471502590676
