,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4323,inside/1on1,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4318,inside,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,1.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4321,inside/1on1,pre,2017-08-03 10:15:00,fall camp practice #4,0.0,1.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4320,1on1,pre,2017-08-03 10:15:00,fall camp practice #4,0.0,1.0,0.0,0.0,safety,safety,defensive,camp,2017-08-03
4322,inside,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4311,skell vs. def,pre,2017-08-03 10:20:00,fall camp practice #4,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4310,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,0.0,1.0,0.0,0.0,safety,safety,defensive,camp,2017-08-03
4309,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,1.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-03
4308,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,1.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4307,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,1.0,0.0,1.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4306,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,1.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4305,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,1.0,1.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4304,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4303,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4302,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,0.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4301,team situation,pre,2017-08-03 10:35:00,fall camp practice #4,0.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4300,team situation,post,2017-08-03 10:40:00,fall camp practice #4,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4299,team situation,post,2017-08-03 10:40:00,fall camp practice #4,2.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4298,skell vs. def,post,2017-08-03 10:50:00,fall camp practice #4,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4297,skell vs. offense,post,2017-08-03 10:50:00,fall camp practice #4,0.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4296,skell vs. def,post,2017-08-03 10:50:00,fall camp practice #4,0.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4295,skell vs. offense,post,2017-08-03 10:55:00,fall camp practice #4,1.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
